dates,RMSE
2/27 21:00,1.0372772216796875
2/27 22:00,0.47735595703125
2/27 23:00,11.256568908691406
2/28 0:00,11.4732666015625
2/28 1:00,52.57091522216797
2/28 2:00,72.58673858642578
2/28 3:00,3.4079437255859375
2/28 4:00,29.691879272460938
2/28 5:00,52.719879150390625
2/28 6:00,37.12835693359375
2/28 7:00,15.480499267578125
2/28 8:00,30.878448486328125
2/28 9:00,19.431838989257812
2/28 10:00,8.528549194335938
2/28 11:00,8.015464782714844
2/28 12:00,12.728858947753906
2/28 13:00,6.50897216796875
2/28 14:00,7.369987487792969
2/28 15:00,9.935081481933594
2/28 16:00,8.696556091308594
2/28 17:00,7.3477935791015625
2/28 18:00,10.917709350585938
2/28 19:00,11.628326416015625
2/28 20:00,12.283489227294922
2/28 21:00,10.244064331054688
2/28 22:00,10.023357391357422
2/28 23:00,34.211891174316406
3/1 0:00,8.700355529785156
3/1 1:00,39.35594177246094
3/1 2:00,74.93930053710938
3/1 3:00,46.75445556640625
3/1 4:00,57.20819091796875
3/1 5:00,61.841827392578125
3/1 6:00,48.7347412109375
3/1 7:00,75.961181640625
3/1 8:00,111.63862609863281
3/1 9:00,0.9018707275390625
3/1 10:00,51.32289123535156
3/1 11:00,35.55131530761719
3/1 12:00,16.28162384033203
3/1 13:00,0.44309234619140625
3/1 14:00,9.386756896972656
3/1 15:00,18.74915313720703
3/1 16:00,3.8864974975585938
3/1 17:00,7.9077911376953125
3/1 18:00,10.897979736328125
3/1 19:00,12.161544799804688
3/1 20:00,6.704143524169922
3/1 21:00,7.8276519775390625
3/1 22:00,7.7386932373046875
3/1 23:00,21.26898193359375
3/2 0:00,4.715606689453125
3/2 1:00,50.31671905517578
3/2 2:00,71.70507049560547
3/2 3:00,16.390655517578125
3/2 4:00,20.720306396484375
3/2 5:00,31.985610961914062
3/2 6:00,25.432998657226562
3/2 7:00,9.064422607421875
3/2 8:00,48.839111328125
3/2 9:00,32.988311767578125
3/2 10:00,17.227996826171875
3/2 11:00,21.35706329345703
3/2 12:00,15.695976257324219
3/2 13:00,13.274162292480469
3/2 14:00,9.633033752441406
3/2 15:00,14.985809326171875
3/2 16:00,10.812934875488281
3/2 17:00,11.104755401611328
3/2 18:00,15.84481430053711
3/2 19:00,22.309398651123047
3/2 20:00,11.969474792480469
3/2 21:00,6.345237731933594
3/2 22:00,13.837528228759766
3/2 23:00,27.49140167236328
